,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
7842,,2,,1.0,1.0,survey,,
7858,,1,,2.0,3.0,survey,,
7864,,2,,2.0,1.0,survey,,
7867,,2,,2.0,1.0,survey,,
7868,,2,,2.0,1.0,survey,,
7869,,1,,2.0,1.0,survey,,
7873,,1,,1.0,1.0,survey,,
7877,,1,,1.0,3.0,survey,,
7888,,2,,2.0,3.0,survey,,
7890,,2,,1.0,1.0,survey,,
7896,,2,,2.0,1.0,survey,,
7903,,1,,2.0,3.0,survey,,
7905,,1,,1.0,2.0,survey,,
7926,,2,,1.0,1.0,survey,,
7935,,1,,1.0,1.0,survey,,
7945,,2,,2.0,3.0,survey,,
7947,,2,,2.0,3.0,survey,,
7953,,2,,2.0,1.0,survey,,
7955,,1,,2.0,1.0,survey,,
7959,,1,,1.0,1.0,survey,,
7962,,1,,1.0,1.0,survey,,
7963,,2,,2.0,1.0,survey,,
7985,,2,,2.0,1.0,survey,,
7989,,2,,1.0,1.0,survey,,
7990,,1,,1.0,1.0,survey,,
8005,,2,,1.0,1.0,survey,,
8020,,1,,1.0,3.0,survey,,
8023,,1,,2.0,1.0,survey,,
8030,,2,,2.0,1.0,survey,,
8037,,2,,2.0,1.0,survey,,
8038,,2,,2.0,1.0,survey,,
8040,,1,,1.0,1.0,survey,,
8041,,2,,1.0,3.0,survey,,
8042,,2,,1.0,1.0,survey,,
8050,,2,,2.0,1.0,survey,,
8052,,2,,2.0,1.0,survey,,
8055,,2,,1.0,3.0,survey,,
